Name,Location,Study Program,Sector,Affiliation,Rating
Govt Degree College For Women Taunsa Dera Ghazi Khan,Govt Degree College For Women Taunsa Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering ICS,Public,N/A,0*
Bravo’s Academy and Club Hyderabad,"A-30 Stadium Rd, Hyderabad",FA Fsc Pre Medical FSc Pre Engineering ICom ICs Computer Science,Private,N/A,0*
"Govt. Polytechnic Institute, Attock",Fateh Jang Road Attock,DCOM,N/A,N/A,5*
Govt Degree College For Women Kot Chutta Dera Ghazi Khan,Govt Degree College For Women Kot Chutta Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering FA General Science,Public,N/A,0*
Khanewal Public School And College,Khanewal Public School & College,FSc Pre Medical Fsc Pre Engineering ICS Computer Science,Private,N/A,0*
Govt College for Women Kot Lakhpat Lahore,Govt College For Women Kot Lakhpat Lahore,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Lahore Metropolitan College Lahore,"Lahore Metropolitan College, Lahore",ICS Fsc Pre Medical ICOM FSc Pre Engineering,N/A,N/A,0*
FG Degree College for Women Kohat,FG Degree College for Women Kohat,FA Fsc Pre Medical FSc Pre Engineering ICS ICom,Public,N/A,0*
Govt Degree College for Women Arifwala,Arifwala,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Public,N/A,0*
Govt Degree College For Women Ali Pur Chattha,Govt Degree College For Women Ali Pur Chatha Gujranwala,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science ICom,Public,N/A,0*
Govt Degree College For Women Narwala Banglow Narwala Road Faisalabad,"Govt Degree College For Women 61/JB, Narwala Banglow Narwala Road Faisalabad",FSc Pre-Medical Fsc Pre-Engineering FA FA General Science ICS ICom,Public,N/A,5*
Escribir College of Commerce & Economics Karachi,"5th Floor, The Plaza, Near Two Swords, Block 9, Clifton, Karachi",Icom Dcom,N/A,"Board of Intermediate Education Karachi
University of Karachi",0*
Superior Group of Colleges Narowal,"Chowk Bijli Ghar, Pasroor Road, Narowal",ICs Computer Science Fsc Pre Engineering FSc Pre Medical ICom FA,Private,N/A,2*
Govt Institute of Commerce Burewala,Chungi No:5 Burewala,ICs Computer Science Fsc Pre Engineering FSc Pre Medical ICom FA,Public,N/A,4*
Govt College Boys Dera Ghazi Khan,Govt College Block 17 Dera Ghazi Khan,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,1*
Govt Boys Degree College Minchinabad Bahawalnagar,Govt Boys Degree College Minchinabad Bahawalnagar,FA FA General Science FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Al Haq Girls College,"ST-5 / 1, Block-1, Gulshan-e-Iqbal, Karachi, -75300",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Private,N/A,1.25*
ITM College of Commerce 4-University Road Sargodha,ITM College of Commerce 4-University Road Sargodha,FSc Pre-Medical FSc Pre-Engineering ICS ICom FA FA General Science,Private,N/A,0*
Govt Degree College Daharanwala Bahawalnagar,Govt Degree College Daharanwala Bahawalnagar,FA FSc Pre Engineering Fsc Pre Medical ICS FA General Science ICom,Public,N/A,0*
Govt Degree College Phularwan Sargodha,Govt Degree College Phularwan Sargodha,FA ICs Computer Science FSc Pre Engineering FSc Pre Medical FA General Science,Public,N/A,0*
Punjab College of Commerce and Sciences Rahim Yar khan,RAHIM YAR KHAN,FSc Pre Engineering FSc Pre Medical FA General Science FA ICS,Private,N/A,0*
"Jinnah College of Commerce, Gujrat","Jinnah College of Commerce, Gujrat",ICom,N/A,N/A,0*
Jinnah Muslim College of Commerce Islamabad,Aabpara Market Islamabad,FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Private,N/A,0*
PBF International College Islamabad,"PBF International College PBC, (Campus) H-9, Islamabad",ICS FSc Pre Medical FSc Pre Engineering ICom FA A Level,Private,N/A,0*
Govt Abdul Haq Islamia Degree College Jalalpur Jattan Gujrat,Jalalpur Jattan Gujrat,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Frontier Model School & College Peshawar,"Warsak Road, Peshawar",FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,N/A,N/A,0*
NPSC Rawat Islamabad,GT Road Rawat Islamabad,ICS Icom FA FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
Dar-E-Arqam Girls College Lahore,Lahore,FSc Pre Medical FSc Pre Engineering ICom FA ICS,N/A,N/A,1.25*
Govt College of Commerce Bhakkar,Govt College of Commerce Bhakkar,ICS I.Com D.Com,Public,N/A,0*
"Crescent Model College, Mirpur","57, Sector C-1, Mirpur, Azad Jammu & Kashmir",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Superior Group of Colleges Pak Pattan,"Near Saadat House, Sahiwal Road, Pak Pattan",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,Private,N/A,0*
Bravo College of Technology,Near Itfak kiddney Center Peshawar,Fsc Pre Engineering FSc Pre Medical ICs Computer Science DCom,Private,N/A,4*
Global System Of Integrated Studies School And College,Pitras Bukhari Road H-8/1 Islamabad.,FSc Pre-Engineering Fsc Pre-Medical ICS FA General ScienceICom FA A Level,Private,N/A,0*
Govt Boys Degree College Rahwali Gujranwala,Govt Boys Degree College Rahwali Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,5*
Govt Institute of Commerce Baghbanpura Lahore,"3-Saeed Block, Canal Bank Housing Scheme, Fateh Garh, Hurbanspura, Lahore",Diploma in Commerce,N/A,N/A,0*
Govt Degree College for Women Lalian District Chiniot,Lalian District Chiniot,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,N/A,0*
"Govt. Institute of Commerce, Narang Mandi, District Sheikhupura","Govt. Institute of Commerce, Narang Mandi",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,N/A,N/A,0*
Govt College For Women Dera Ghazi Khan,Govt College For Women Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,N/A,0*
Govt College for Women Tandlianwala District Faisalabad,Govt College for Women Tandlianwala Distt Faisalabad,FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,N/A,4.5*
Govt Post Graduate College For Women Kasur,Govt Post Graduate College For Women Kasur,FA Fsc Pre-Engineering FSc Pre-Medical ICS,Public,N/A,0*
Govt Degree College Sehnsa AJK,"Sehnsa, District Kotli, Azad Jammu & Kashmir",FA ICS Computer Science ICom FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
Govt Degree College Boys Sarai Alamgir Gujrat,Govt Degree College Boys Sarai Alamgir Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,5*
International Institute Of Technology Multan,"BCG Chowk Wehari Road, Multan",FSc Pre Engineering ICs Computer Science ICom,N/A,N/A,0*
Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,FAFSc Pre Enginerring Fsc Pre Medical ICs Computer Science FA General Science,Public,N/A,5*
Anam Public School and Girls College Rawalpindi Cantt,"Anam Public School and Girls College, Street No.1, Rawal Town, Near Dhoke Syedan Road, Rawalpindi Cantt",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Private,N/A,0*
College Of Home Sciences Saidu Sharif Swat,Saidu Sharif Swat,FSc Pre Engineering ICs Computer Science,N/A,N/A,4.75*
Govt Degree College For Women Kabirwala Khanewal,Govt Degree College For Women Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical FA General Science,Public,N/A,0*
"National Institute of Leather Technology, Karachi","Plot No. St-20, Sector 7-A, Korangi Industrial Area, Karachi, ",DAE Leather Technology,N/A,N/A,0*
Govt College For Women College Road Gujranwala,Govt College For Women College Road Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Capital College Islamabad,"Darbar Chowk, Service Road West G-11, Near Kashmir Highway Islamabad.",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,N/A,0*
Govt Institute of Commerce Chiniot,Govt Institute of Commerce Chiniot,Dcom FA ICom,Public,N/A,2*
Govt Degree College For Women Bhagowal Kalan Gujrat,Govt Degree College For Women Bhagowal Kalan Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS ICom FA General Science,Public,N/A,0*
Govt College For Women Jahanian Khanewal,Govt College For Women Jahanian Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,FSc Pre-Medical FSc Pre-Engineering ICS FA FA General Science,Public,N/A,0*
"Govt. College for Elementary Teachers, Mirpur",25 Km from Dina and 10 km from Mangla,FA Fsc Pre Medical,N/A,N/A,0*
Balochistan Institute Of Information Technology Quetta,Near Commissioner Zhob Division Office Quetta Road Loralai ,ICS Icom FSc Pre Engineering FSc Pre Medical,Private,N/A,0*
Govt Boys Degree College Dina Jhelum,Govt Boys Degree College Dina Jhelum,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,N/A,0*
Govt Degree College Women Raiwind Lahore,Govt Degree College Women Raiwind Lahore,ICS Icom FA FSc Pre Medical FSc Pre Engineering,Public,N/A,0*
Govt Boys Degree College Quaidabad Khushab,Govt Boys Degree College Quaidabad Khushab,FA FSc Pre Engineering FSc Pre Medical ICom ICS Computer Science FA General Science,Public,N/A,0*
Punjab Group of Colleges Kallar Saydan,"Ittiffaq Town Naseer-ud-din Road, Plot # 50, Mureed Chowk, Kallar Saydan",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
"Aleemiya Islamic Degree College, Karachi","Al-markaz Islami, Block B-, North Nazimabad, Karachi",FA Fsc General Science ICs Computer Science FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Mahmoodi Institute of Management Sciences (MIMS) Karachi,"Mariners Fairway 43 Timber Pound, Keameri, Karachi",ACCA,Public,N/A,0*
Govt Degree College For Women Naushera Khushab,Govt Degree College For Women Naushera Khushab,FA FSc Pre Engineering FSc Pre Medical FA General Science IComI CS Computer Science,Public,N/A,0*
Govt Degree College for Women Kot Khawaja Saeed Lahore,Kot Khawaja Saeed Lahore,FA FSc Pre Engineering FSc Pre Medical ICS General Science,Public,N/A,0*
Govt College For Women Nowshera Virkan Gujranwala,Govt College For Women Nowshera Virkan Gujranwala,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,N/A,0*
Leads Group of Colleges Mianwali,Leads Group of Colleges,ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA,Private,N/A,0*
Govt College For Women Chak Jhumra Faisalabad,Govt College For Women Chak Jhumra Faisalabad,FA ICS FSc Pre-Medical FSc Pre-Engineering FA General Science ICom,Public,N/A,0*
Base College Of Science & Commerce Rawalpindi,"Near Barrier No.03, Wah Cantt, Rawalpindi",FSc Pre Engineering Fsc Pre Medical ICS ICom,Private,N/A,0*
"Commecs School of Accountancy, Karachi","40-B, Block 6, P.E.C.H.S., Shahrah-e-Faisal, Behind KESC office, Karachi.",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom,N/A,N/A,0*
Govt College of Commerce Khanewal,Khanewal,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
"Govt. College of Commerce, Multan Cantt","Azmat Wasti Road, Multan Cantt",Icom Dcom,Public,N/A,0*
Govt Degree College Chitral,Govt Degree College Chitral ,FA FSc Per Engineering FSc Per Medical ICS Icom,Public,N/A,0*
Govt Boys College Jahanian Khanewal,Govt Boys College Jahanian Khanewal,FA FSc Pre Engineering FSc Pre Medical FA General Science ICom ICS Computer Science,Public,N/A,0*
Aim Higher Institute Rawalpindi,"KASB Bank Building, Chandni Chowk, Rawalpindi",Icom ICs Computer Science FA FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
F.G Girls Inter College Mardan,PRC Mardan Cantt,FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,Private,N/A,0*
Fazaia Inter College Paf Camp Badaber Karachi,PAF Camp Badaber Karachi,FSc pre Engineering Fsc pre Medical ICs Computer Science FA ICom,N/A,N/A,0*
"Modern College of Commerce, Lahore","10-College Block, Allama Iqbal Town",FA ICS ICOM FSc FSc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Govt Degree College Sahiwal Sargodha,Govt Degree College Sahiwal Sargodha,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,0*
Govt College Boys Choti Zareen Dera Ghazi Khan,Govt College Boys Choti Zareen Dera Ghazi Khan,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,1.25*
Al-Farabi Islamic School And College Islamabad,"Al-Farabi Islamic School & College, Near Tumair Stop, Lehtrar Road, Nilore (F.A), Islamabad",FA Fsc Pre Engineering ICs Computer Science FSc Pre Medical ICom,Private,N/A,5*
Punjab College Abbottabad,"Punjab College CB-28, Gulistan Colony, College Road, Abbottabad",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom FA ,Private,N/A,0*
Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
"College of Business & Information Technology, Karachi","109-B, Gulshan-e-Faisal, Bath Island, Clifton",ACCA CFA,N/A,N/A,0*
Govt College Of Technology Abbottabad,"College Road,Mandian",DAE Civil Technology DAE Electrical Technology DAE Mechanical Technology,N/A,N/A,0*
Bluebird Commercial Institute Rawalpindi,"B-7(basement) Meezan Bank Building, Haji Chowk, Muslim Town, Rawalpindi",Fsc Pre Medical FSc Pre Engineering FA ICom ICS,N/A,N/A,0*
Lamar Degree College,1-New Arbab Colony Abdara Road Peshawar,ICs Computer Science FA FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
Govt Degree Boys College Mandi Shah Jewana Jhang,Govt Degree Boys College Mandi Shah Jewana Jhang,FA FSc Pre Engineering FSc Pre MedicalFA General Science,Public,N/A,0*
Govt College for Women Mulhal Mughlan Distt Chakwal,Chakwal,FA FSc Pre Engineering FSc Pre MedicalFA General Science,Public,N/A,0*
Pakturk International School And Colleges,"ST-21/1, Block-6, Gulshan-e-Iqbal Karachi.",FSc Pre Medical Fsc Pre Engineering ICom ICs Computer Science A-Level,Private,N/A,0*
Govt Boys Degree College Ghakhar Mandi Gujranwala,Govt Boys Degree College Ghakhar Mandi Gujranwala,FA FSc Pre-Engineering Fsc Pre-Medical ICS Icom IT FA General Science,Public,N/A,0*
Lead Education System Peshawar,"Khyber Street Opposite Deans Apartments Near Board Bazar, Jamrud Road, Peshawar.",Dcom DBA DIT DAE Civil DAE Electrical FSc Pre Medical FSc Pre Engineering FCS FA Arts,N/A,BISE Khyber Pakhtunkhwa,0*
Faran Education Complex VU Campus Kohat,Faran Educational Complex Near FEF College Kohat,FSc Pre Medical Fsc Pre Engineering FSc Computer Science,Private,N/A,0*
Jinnah International Model School & College,"Ring Road near Kambo Adda, Motorway Interchange Peshawar",FA Fsc Pre Medical FSc Pre Engineering FCs Computer Science,N/A,N/A,0*
Govt Degree College For Women Mamunkanjan Faisalabad,Govt Degree College For Women Mamunkanjan Faisalabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,0*
Govt College Khurrianwala Faisalabad,"Govt College 266/RB, Khurrianwala Faisalabad",FSc Pre-Medical FSc Pre-Engineering ICS FA Icom FA General Science,Public,N/A,2*
Govt Boys Degree College Darya Khan Bhakkar,Govt Boys Degree College Darya Khan Bhakkar,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,0*
Govt Boys Degree College Kotla Arab Ali Khan Gujrat,Govt Boys Degree College Kotla Arab Ali Khan Gujrat,FA FSc Pre Engineering FSc Pre Medical ICom,Public,N/A,0*
Punjab Group of Colleges Sukkur,"65/A Friends Co-operative Housing Society Shikarpur Road,Sukkur",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Special Children School Bahria College Islamabad,"Special Children School Bahria College Islamabad, Shangrilla Road, Naval Complex, E-8, Islamabad	",FSc Pre Engineering Fsc Pre Medical ICs Computer Science FA General Science,Private,N/A,0*
Govt Degree College For Women Minchinabad Bahawalnagar,Govt Degree College For Women Minchinabad Bahawalnagar,FA FSc Pre Engineering FSc Pre Medical FSc General Science ICS,Public,N/A,0*
Govt Degree College for Women Palandri AJK,"Palandri, District Poonch, Azad Jammu & Kashmir",FA ICS Computer Science ICom FSc Pre Medical FSc Pre Engineering,Public,N/A,0*
Govt College for Women Choa Saiden Shah Distt Chakwal,CHOA SAIDAN SHAH,FSc Pre Engineering Fsc Pre Medical ICs Computer Science,Public,N/A,0*
Govt Boys Degree College Pindi Bhattian Hafizabad,Govt Boys Degree College Pindi Bhattian Hafizabad,FA FSc Pre-Engineering FSc Pre-Medical ICS FA General Science Icom,Public,N/A,0*
"Institute of Computer Science, Karachi","Steel Town, Karachi",Fsc Pre Medical FSc Pre Engreening FA,N/A,N/A,0*
Govt Boys Degree College Khairpur Tamewali Bahawalpur,Govt Boys Degree College Khairpur Tamewali Bahawalpur,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Ibrahim International Educational System,"AI-Kahaf Educational Trust, 12-1 Sector B-1 Township Lahore Pakista","Online school coaching for O levels, IGCSE, and A levels",Private,N/A,0*
Govt College Of Technology,"Govt College of Technology Paris Road, Sialkot",DAE Auto & Diesel DAE Civil DAE Electrical DAE Electronics DAE Mechanical,Public,N/A,5*
Govt College For Women Pattoki Kasur,Govt College For Women Pattoki Kasur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Govt Degree College For Women Sarai Sidhu Khanewal,Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Dr. A.Q Khan College of Science And technology Islamabad,"Dr. A.Q Khan College of Science & Technology, Bahria Town, Phase-8, Islamabad",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,N/A,0*
